"ENSEMBL","HGNC"
"ENSG00000066032","CTNNA2"
"ENSG00000066827","ZFAT"
"ENSG00000066923","STAG3"
"ENSG00000069966","GNB5"
"ENSG00000072071","ADGRL1"
"ENSG00000072952","MRVI1"
"ENSG00000073169","SELENOO"
"ENSG00000077782","FGFR1"
"ENSG00000078618","NRDC"
"ENSG00000079337","RAPGEF3"
"ENSG00000082014","SMARCD3"
"ENSG00000084636","COL16A1"
"ENSG00000085117","CD82"
"ENSG00000085274","MYNN"
"ENSG00000086570","FAT2"
"ENSG00000086696","HSD17B2"
"ENSG00000088320","REM1"
"ENSG00000088756","ARHGAP28"
"ENSG00000089127","OAS1"
"ENSG00000090339","ICAM1"
"ENSG00000091436","MAP3K20"
"ENSG00000091542","ALKBH5"
"ENSG00000095321","CRAT"
"ENSG00000095485","CWF19L1"
"ENSG00000095574","IKZF5"
"ENSG00000095585","BLNK"
"ENSG00000099810","MTAP"
"ENSG00000100023","PPIL2"
"ENSG00000100154","TTC28"
"ENSG00000100365","NCF4"
"ENSG00000100393","EP300"
"ENSG00000100395","L3MBTL2"
"ENSG00000100575","TIMM9"
"ENSG00000100985","MMP9"
"ENSG00000101384","JAG1"
"ENSG00000101425","BPI"
"ENSG00000101955","SRPX"
"ENSG00000103274","NUBP1"
"ENSG00000103310","ZP2"
"ENSG00000103335","PIEZO1"
"ENSG00000103599","IQCH"
"ENSG00000104760","FGL1"
"ENSG00000104805","NUCB1"
"ENSG00000105281","SLC1A5"
"ENSG00000105568","PPP2R1A"
"ENSG00000105618","PRPF31"
"ENSG00000106484","MEST"
"ENSG00000106991","ENG"
"ENSG00000107736","CDH23"
"ENSG00000108309","RUNDC3A"
"ENSG00000108417","KRT37"
"ENSG00000108932","SLC16A6"
"ENSG00000109163","GNRHR"
"ENSG00000110104","CCDC86"
"ENSG00000110400","NECTIN1"
"ENSG00000111339","ART4"
"ENSG00000111665","CDCA3"
"ENSG00000111713","GYS2"
"ENSG00000111962","UST"
"ENSG00000112319","EYA4"
"ENSG00000112406","HECA"
"ENSG00000113073","SLC4A9"
"ENSG00000113296","THBS4"
"ENSG00000113319","RASGRF2"
"ENSG00000115207","GTF3C2"
"ENSG00000115355","CCDC88A"
"ENSG00000115816","CEBPZ"
"ENSG00000115850","LCT"
"ENSG00000116996","ZP4"
"ENSG00000117834","SLC5A9"
"ENSG00000118058","KMT2A"
"ENSG00000119699","TGFB3"
"ENSG00000120314","WDR55"
"ENSG00000120729","MYOT"
"ENSG00000121900","TMEM54"
"ENSG00000122034","GTF3A"
"ENSG00000122386","ZNF205"
"ENSG00000122728","TAF1L"
"ENSG00000123454","DBH"
"ENSG00000123728","RAP2C"
"ENSG00000124104","SNX21"
"ENSG00000124181","PLCG1"
"ENSG00000124201","ZNFX1"
"ENSG00000124228","DDX27"
"ENSG00000124249","KCNK15"
"ENSG00000124251","TP53TG5"
"ENSG00000125633","CCDC93"
"ENSG00000125755","SYMPK"
"ENSG00000126883","NUP214"
"ENSG00000128833","MYO5C"
"ENSG00000128849","CGNL1"
"ENSG00000129038","LOXL1"
"ENSG00000129250","KIF1C"
"ENSG00000129292","PHF20L1"
"ENSG00000129484","PARP2"
"ENSG00000129636","ITFG1"
"ENSG00000129993","CBFA2T3"
"ENSG00000131095","GFAP"
"ENSG00000131626","PPFIA1"
"ENSG00000132128","LRRC41"
"ENSG00000132359","RAP1GAP2"
"ENSG00000132485","ZRANB2"
"ENSG00000133392","MYH11"
"ENSG00000133454","MYO18B"
"ENSG00000133488","SEC14L4"
"ENSG00000133661","SFTPD"
"ENSG00000133678","TMEM254"
"ENSG00000134330","IAH1"
"ENSG00000134460","IL2RA"
"ENSG00000134569","LRP4"
"ENSG00000134686","PHC2"
"ENSG00000134765","DSC1"
"ENSG00000135299","ANKRD6"
"ENSG00000135480","KRT7"
"ENSG00000135540","NHSL1"
"ENSG00000135968","GCC2"
"ENSG00000136738","STAM"
"ENSG00000136986","DERL1"
"ENSG00000137397","TRIM31"
"ENSG00000137497","NUMA1"
"ENSG00000137860","SLC28A2"
"ENSG00000137936","BCAR3"
"ENSG00000138606","SHF"
"ENSG00000138792","ENPEP"
"ENSG00000139178","C1RL"
"ENSG00000139220","PPFIA2"
"ENSG00000139549","DHH"
"ENSG00000140650","PMM2"
"ENSG00000140832","MARVELD3"
"ENSG00000141741","MIEN1"
"ENSG00000142002","DPP9"
"ENSG00000142661","MYOM3"
"ENSG00000142945","KIF2C"
"ENSG00000143382","ADAMTSL4"
"ENSG00000143631","FLG"
"ENSG00000144283","PKP4"
"ENSG00000144285","SCN1A"
"ENSG00000144445","KANSL1L"
"ENSG00000144481","TRPM8"
"ENSG00000144596","GRIP2"
"ENSG00000146094","DOK3"
"ENSG00000146122","DAAM2"
"ENSG00000146426","TIAM2"
"ENSG00000149499","EML3"
"ENSG00000149968","MMP3"
"ENSG00000150687","PRSS23"
"ENSG00000151503","NCAPD3"
"ENSG00000151665","PIGF"
"ENSG00000151952","TMEM132D"
"ENSG00000152193","OBI1"
"ENSG00000152894","PTPRK"
"ENSG00000153237","CCDC148"
"ENSG00000154237","LRRK1"
"ENSG00000154258","ABCA9"
"ENSG00000154783","FGD5"
"ENSG00000154889","MPPE1"
"ENSG00000155666","KDM8"
"ENSG00000155975","VPS37A"
"ENSG00000156103","MMP16"
"ENSG00000156113","KCNMA1"
"ENSG00000157077","ZFYVE9"
"ENSG00000157216","SSBP3"
"ENSG00000157445","CACNA2D3"
"ENSG00000158156","XKR8"
"ENSG00000159363","ATP13A2"
"ENSG00000159658","EFCAB14"
"ENSG00000160226","CFAP410"
"ENSG00000160752","FDPS"
"ENSG00000161638","ITGA5"
"ENSG00000161849","KRT84"
"ENSG00000162383","SLC1A7"
"ENSG00000162494","LRRC38"
"ENSG00000162510","MATN1"
"ENSG00000162517","PEF1"
"ENSG00000163126","ANKRD23"
"ENSG00000163166","IWS1"
"ENSG00000163214","DHX57"
"ENSG00000163689","C3orf67"
"ENSG00000163704","PRRT3"
"ENSG00000163806","SPDYA"
"ENSG00000164284","GRPEL2"
"ENSG00000165125","TRPV6"
"ENSG00000165392","WRN"
"ENSG00000166164","BRD7"
"ENSG00000167524","RSKR"
"ENSG00000167863","ATP5PD"
"ENSG00000167984","NLRC3"
"ENSG00000168032","ENTPD3"
"ENSG00000168061","SAC3D1"
"ENSG00000168481","LGI3"
"ENSG00000168497","CAVIN2"
"ENSG00000168505","GBX2"
"ENSG00000168679","SLC16A4"
"ENSG00000168748","CA7"
"ENSG00000168811","IL12A"
"ENSG00000169031","COL4A3"
"ENSG00000169432","SCN9A"
"ENSG00000169758","TMEM266"
"ENSG00000170454","KRT75"
"ENSG00000172379","ARNT2"
"ENSG00000172575","RASGRP1"
"ENSG00000173599","PC"
"ENSG00000174871","CNIH2"
"ENSG00000174903","RAB1B"
"ENSG00000174989","FBXW8"
"ENSG00000176390","CRLF3"
"ENSG00000176393","RNPEP"
"ENSG00000176422","SPRYD4"
"ENSG00000178965","ERICH3"
"ENSG00000179057","IGSF22"
"ENSG00000179335","CLK3"
"ENSG00000179562","GCC1"
"ENSG00000179889","PDXDC1"
"ENSG00000180228","PRKRA"
"ENSG00000182253","SYNM"
"ENSG00000183092","BEGAIN"
"ENSG00000183682","BMP8A"
"ENSG00000183833","MAATS1"
"ENSG00000184389","A3GALT2"
"ENSG00000184708","EIF4ENIF1"
"ENSG00000184743","ATL3"
"ENSG00000185453","ZSWIM9"
"ENSG00000186049","KRT73"
"ENSG00000186635","ARAP1"
"ENSG00000187537","POTEG"
"ENSG00000188089","PLA2G4E"
"ENSG00000188687","SLC4A5"
"ENSG00000188820","CALHM6"
"ENSG00000196345","ZKSCAN7"
"ENSG00000196526","AFAP1"
"ENSG00000196562","SULF2"
"ENSG00000197208","SLC22A4"
"ENSG00000197635","DPP4"
"ENSG00000198010","DLGAP2"
"ENSG00000198062","POTEH"
"ENSG00000198742","SMURF1"
"ENSG00000198814","GK"
"ENSG00000198844","ARHGEF15"
"ENSG00000198900","TOP1"
"ENSG00000198964","SGMS1"
"ENSG00000203995","ZYG11A"
"ENSG00000204616","TRIM31"
"ENSG00000205277","MUC12"
"ENSG00000212807","OR2A42"
"ENSG00000214102","WEE2"
"ENSG00000214140","PRCD"
"ENSG00000214517","PPME1"
"ENSG00000214814","FER1L6"
"ENSG00000222036","POTEM"
"ENSG00000223531","TRIM31"
"ENSG00000224168","TRIM31"
"ENSG00000224542","TRIM31"
"ENSG00000225130","TRIM31"
"ENSG00000226321","CROCC2"
"ENSG00000226402","TRIM31"
"ENSG00000230124","ACBD6"
"ENSG00000233573","TRIM31"
"ENSG00000234224","TMEM229A"
"ENSG00000237515","SHISA9"
"ENSG00000239305","RNF103"
"ENSG00000244607","CCDC13"
"ENSG00000255181","CCDC166"
"ENSG00000267710","EDDM13"
"ENSG00000269699","ZIM2"
"ENSG00000001460","STPG1"
"ENSG00000005156","LIG3"
"ENSG00000005206","SPPL2B"
"ENSG00000007341","ST7L"
"ENSG00000055147","FAM114A2"
"ENSG00000065357","DGKA"
"ENSG00000067829","IDH3G"
"ENSG00000087191","PSMC5"
"ENSG00000087903","RFX2"
"ENSG00000096155","BAG6"
"ENSG00000100628","ASB2"
"ENSG00000102901","CENPT"
"ENSG00000104972","LILRB1"
"ENSG00000106785","TRIM14"
"ENSG00000108474","PIGL"
"ENSG00000110844","PRPF40B"
"ENSG00000111325","OGFOD2"
"ENSG00000112855","HARS2"
"ENSG00000114738","MAPKAPK3"
"ENSG00000115840","SLC25A12"
"ENSG00000117543","DPH5"
"ENSG00000125375","DMAC2L"
"ENSG00000125485","DDX31"
"ENSG00000126005","MMP24OS"
"ENSG00000126226","PCID2"
"ENSG00000127080","IPPK"
"ENSG00000130821","SLC6A8"
"ENSG00000132581","SDF2"
"ENSG00000134697","GNL2"
"ENSG00000137133","HINT2"
"ENSG00000140153","WDR20"
"ENSG00000140623","SEPTIN12"
"ENSG00000140993","TIGD7"
"ENSG00000144455","SUMF1"
"ENSG00000145782","ATG12"
"ENSG00000149716","LTO1"
"ENSG00000149792","MRPL49"
"ENSG00000150779","TIMM8B"
"ENSG00000151093","OXSM"
"ENSG00000151806","GUF1"
"ENSG00000152580","IGSF10"
"ENSG00000155761","SPAG17"
"ENSG00000160190","SLC37A1"
"ENSG00000162144","CYB561A3"
"ENSG00000162736","NCSTN"
"ENSG00000163705","FANCD2OS"
"ENSG00000165695","AK8"
"ENSG00000168569","TMEM223"
"ENSG00000169442","CD52"
"ENSG00000172345","STARD5"
"ENSG00000173531","MST1"
"ENSG00000177683","THAP5"
"ENSG00000177917","ARL6IP6"
"ENSG00000179295","PTPN11"
"ENSG00000179761","PIPOX"
"ENSG00000179988","PSTK"
"ENSG00000180694","TMEM64"
"ENSG00000181513","ACBD4"
"ENSG00000182993","C12orf60"
"ENSG00000183718","TRIM52"
"ENSG00000183840","GPR39"
"ENSG00000184060","ADAP2"
"ENSG00000186854","TRABD2A"
"ENSG00000187147","RNF220"
"ENSG00000188735","TMEM120B"
"ENSG00000189171","S100A13"
"ENSG00000196123","KIAA0895L"
"ENSG00000196220","SRGAP3"
"ENSG00000196839","ADA"
"ENSG00000197753","LHFPL5"
"ENSG00000197852","INKA2"
"ENSG00000197948","FCHSD1"
"ENSG00000198910","L1CAM"
"ENSG00000204406","MBD5"
"ENSG00000204540","PSORS1C1"
"ENSG00000205133","TRIQK"
"ENSG00000206458","PSORS1C1"
"ENSG00000214193","SH3D21"
"ENSG00000227761","BAG6"
"ENSG00000229524","BAG6"
"ENSG00000231094","PSORS1C1"
"ENSG00000233439","PSORS1C1"
"ENSG00000233734","PSORS1C1"
"ENSG00000234616","JRK"
"ENSG00000235487","PSORS1C1"
"ENSG00000247595","SPTY2D1OS"
"ENSG00000268279",""
"ENSG00000027075","PRKCH"
"ENSG00000061273","HDAC7"
"ENSG00000068724","TTC7A"
"ENSG00000081913","PHLPP1"
"ENSG00000083099","LYRM2"
"ENSG00000100911","PSME2"
"ENSG00000105483","CARD8"
"ENSG00000106400","ZNHIT1"
"ENSG00000111319","SCNN1A"
"ENSG00000113108","APBB3"
"ENSG00000114529","C3orf52"
"ENSG00000114648","KLHL18"
"ENSG00000120509","PDZD11"
"ENSG00000120725","SIL1"
"ENSG00000121905","HPCA"
"ENSG00000123810","B9D2"
"ENSG00000128918","ALDH1A2"
"ENSG00000131187","F12"
"ENSG00000134548","SPX"
"ENSG00000135517","MIP"
"ENSG00000135899","SP110"
"ENSG00000138018","SELENOI"
"ENSG00000140471","LINS1"
"ENSG00000141337","ARSG"
"ENSG00000141736","ERBB2"
"ENSG00000142082","SIRT3"
"ENSG00000148290","SURF1"
"ENSG00000149380","P4HA3"
"ENSG00000149743","TRPT1"
"ENSG00000151135","TMEM263"
"ENSG00000154222","CC2D1B"
"ENSG00000159592","GPBP1L1"
"ENSG00000161040","FBXL13"
"ENSG00000166173","LARP6"
"ENSG00000166676","TVP23A"
"ENSG00000168484","SFTPC"
"ENSG00000168528","SERINC2"
"ENSG00000171759","PAH"
"ENSG00000172992","DCAKD"
"ENSG00000176209","SMIM19"
"ENSG00000176386","CDC26"
"ENSG00000176473","WDR25"
"ENSG00000177853","ZNF518A"
"ENSG00000180383","DEFB124"
"ENSG00000180901","KCTD2"
"ENSG00000181027","FKRP"
"ENSG00000181135","ZNF707"
"ENSG00000196421","C20orf204"
"ENSG00000213024","NUP62"
"ENSG00000213619","NDUFS3"
"ENSG00000218739","CEBPZOS"
"ENSG00000219545","UMAD1"
"ENSG00000228760","BAG6"
"ENSG00000233348","BAG6"
"ENSG00000234651","BAG6"
"ENSG00000235194","PPP1R3E"
"ENSG00000239521","CASTOR3"
"ENSG00000241644","INMT"
